N.°;Tipo;Nombre del parque;País;Departamento;Provincia;Distrito;UBIGEO_Distrito;Nombre del personaje;Longitud;Latitud
1;Parque;Parque Alicia Maldonado;Perú;Lima;Lima;San Miguel;150136;Alicia Maldonado;-77.1008964;-12.0814346
2;Parque;Parque Antonia Moreno de Cáceres;Perú;Lima;Lima;Santiago de Surco;150140;Antonia Moreno Leyva;-77.0140799;-12.1329901
3;Parque;Parque Antonia Moreno de Cáceres;Perú;Lima;Lima;La Molina;150114;Antonia Moreno Leyva;-76.9502895;-12.0681556
4;Parque;Parque Antonia Moreno de Cáceres;Perú;Lima;Lima;San Borja;150130;Antonia Moreno Leyva;-76.9892156;-12.0945001
5;Parque;Parque Antonieta Razuri;Perú;Lima;Lima;Rímac;150128;Antonieta Razuri;-77.0330587;-12.0299831
6;Parque;Parque Bárbara D'Achille;Perú;Lima;Lima;Santiago de Surco;150140;Bárbara Bistevins Treinani de D'Achille;-76.9889596;-12.1379608
7;Parque;Parque Beatriz Sarmiento;Perú;Lima;Lima;Comas;150110;Beatriz Lina Sarmiento Ramos;-77.0430321;-11.9381027
8;Parque;Parque Carmen Saco;Perú;Lima;Lima;San Borja;150130;Carmen Saco;-76.9984526;-12.0868488
9;Parque;Parque Chabuca Granda;Perú;Lima;Lima;Los Olivos;150117;María Isabel Granda y Larco;-77.0690082;-11.9867891
10;Parque;Parque Chabuca Granda;Perú;Lima;Lima;Rímac;150128;María Isabel Granda y Larco;-77.0301581;-12.0181028
11;Parque;Parque Chabuca Granda;Perú;Lima;Lima;Santiago de Surco;150140;María Isabel Granda y Larco;-76.9821201;-12.1172425
12;Parque;Parque Chabuca Granda;Perú;Lima;Lima;Villa María del Triunfo;150143;María Isabel Granda y Larco;-76.9393694;-12.1815237
13;Parque;Parque Clorinda Málaga de Prado;Perú;Lima;Lima;Comas;150110;Clorinda Mercedes Málaga Bravo;-77.0539485;-11.9664664
14;Parque;Parque Clorinda Matto de Turner;Perú;Lima;Lima;Miraflores;150121;Grimanesa Martina Mato Usandivaras;-77.028675;-12.1065962
15;Parque;Parque Clorinda Matto de Turner;Perú;Lima;Lima;Breña;150105;Grimanesa Martina Mato Usandivaras;-77.0587833;-12.0521243
16;Parque;Parque De la Mujer;Perú;Lima;Lima;San Borja;150130;;-76.993345;-12.0883644
17;Parque;Parque Dora Mayer;Perú;Lima;Lima;El Agustino;150111;Dora Mayer Loehts;-76.995714;-12.0497045
18;Parque;Parque Eloisa Angulo «La Criollita»;Perú;Lima;Lima;Santiago de Surco;150140;Eloísa Angulo Mansilla;-76.9760724;-12.1395668
19;Parque;Parque Flora Tristán;Perú;Lima;Lima;El Agustino;150111;Flora Celestina Teresa Enriqueta de Tristán y Moscoso;-76.9970324;-12.0527095
20;Parque;Parque Flora Tristán;Perú;Lima;Lima;Villa María del Triunfo;150143;Flora Celestina Teresa Enriqueta de Tristán y Moscoso;-76.9270114;-12.1923498
21;Parque;Parque Flora Tristán;Perú;Lima;Lima;San Martín de Porres;150135;Flora Celestina Teresa Enriqueta de Tristán y Moscoso;-77.0846235;-12.0017674
22;Parque;Parque Georgette y Vallejo;Perú;Lima;Lima;Jesús María;150113;Georgette María Philippart Travers;-77.0458883;-12.0829342
23;Parque;Parque Juana Alarco de Dammert;Perú;Lima;Lima;Miraflores;150121;Juana Alarco Espinoza de Dammert;-77.0355006;-12.1108103
24;Parque;Parque Juana Alarco de Dammert;Perú;Lima;Lima;Cercado de Lima;150101;Juana Alarco Espinoza de Dammert;-77.037321;-12.0587013
25;Parque;Parque Justa Dorregaray;Perú;Lima;Lima;Pueblo Libre;150124;Justa Dorregaray Cueva;-77.0610426;-12.0707142
26;Parque;Parque Isabel de Mendaña;Perú;Lima;Lima;San Miguel;150136;Isabel Barreto de Castro;-77.0742831;-12.0855983
27;Parque;Parque Irma Gamero de Planas;Perú;Lima;Lima;Santiago de Surco;150140;Irma Gamero Salcedo;-77.015899;-12.1308679
28;Parque;Parque Laura Caller;Perú;Lima;Lima;Los Olivos;150117;Laura Caller Iberico;-77.0779867;-11.9697614
29;Parque;Parque Las Ñustas;Perú;Lima;Lima;San Juan de Lurigancho;150132;;-76.9992954;-12.0259452
30;Parque;Parque Luisa Dammert;Perú;Lima;Lima;San Miguel;150136;Luisa Dammert;-77.0833299;-12.0802415
31;Parque;Parque Luisa Moreno;Perú;Lima;Lima;San Miguel;150136;Blanca Rosa Rodríguez López;-77.104486;-12.073444
32;Parque;Parque Madre Hermasia Paget;Perú;Lima;Lima;San Isidro;150131;Hermasia Paget Morel;-77.0447673;-12.1052217
33;Parque;Parque Magda Portal;Perú;Lima;Lima;Cieneguilla;150107;María Magdalena Julia del Portal Moreno;-76.8316494;-12.1053544
34;Parque;Parque Mama Chelita;Perú;Lima;Lima;Comas;150110;;-77.0589776;-11.9569181
35;Parque;Parque María Luisa Grau;Perú;Lima;Lima;Comas;150110;María Luisa Grau Cabero;-77.0579791;-11.9166603
36;Parque;Parque María Parado de Bellido;Perú;Lima;Lima;San Juan de Miraflores;150133;María Andrea Parado Jayo;-76.9766038;-12.1535623
37;Parque;Parque María Parado de Bellido;Perú;Lima;Lima;San Juan de Miraflores;150133;María Andrea Parado Jayo;-77.0084744;-12.0220151
38;Parque;Parque María Parado de Bellido;Perú;Lima;Lima;Independencia;150112;María Andrea Parado Jayo;-77.0565324;-11.9884268
39;Parque;Parque María Parado de Bellido;Perú;Lima;Lima;Santiago de Surco;150140;María Andrea Parado Jayo;-76.9879789;-12.1118352
40;Parque;Parque María Parado de Bellido;Perú;Lima;Lima;San Martín de Porres;150135;María Andrea Parado Jayo;-77.0817864;-12.0250986
41;Parque;Parque María Parado de Bellido;Perú;Lima;Lima;Santiago de Surco;150140;María Andrea Parado Jayo;-76.9879789;-12.1118352
42;Parque;Parque María Reiche;Perú;Lima;Lima;Villa El Salvador;150142;Maria Reiche;-76.9219371;-12.2444526
43;Parque;Parque María Reiche;Perú;Lima;Lima;San Miguel;150136;Maria Reiche;-77.0763278;-12.0836676
44;Parque;Parque María Reiche;Perú;Lima;Lima;Miraflores;150121;Maria Reiche;-77.0485991;-12.1157519
45;Parque;Parque Maria Reiche;Perú;Lima;Lima;Santiago de Surco;150140;Maria Reiche;-76.9959785;-12.121429
46;Parque;Parque María Teresa de la Cruz Candamo;Perú;Lima;Lima;San Borja;150130;Teresa de la Cruz Candamo Álvarez Calderón ;-76.9830925;-12.0903093
47;Parque;Parque Mercedes Cabello de Carbonera;Perú;Lima;Lima;Miraflores;150121;Juana Mercedes Cabello Llosa;-77.0285745;-12.1050523
48;Parque;Parque Micaela Bastidas;Perú;Lima;Lima;San Juan de Lurigancho;150132;Micaela Bastidas Puyucahua;-77.0061462;-12.028137
49;Parque;Parque Micaela Bastidas;Perú;Lima;Lima;Ate;150103;Micaela Bastidas Puyucahua;-76.929686;-12.0456184
50;Parque;Parque Micaela Bastidas;Perú;Lima;Lima;Villa María del Triunfo;150101;Micaela Bastidas Puyucahua;-76.9476829;-12.1752073
51;Parque;Parque Micaela Bastidas;Perú;Lima;Lima;Lince;150116;Micaela Bastidas Puyucahua;-77.0293974;-12.0775264
52;Parque;Parque Micaela Bastidas;Perú;Lima;Lima;Independencia;150112;Micaela Bastidas Puyucahua;-77.0514195;-11.9988173
53;Parque;Parque Micaela Bastidas;Perú;Lima;Lima;Los Olivos;150117;Micaela Bastidas Puyucahua;-77.0665582;-11.9852757
54;Parque;Parque Micaela Bastidas;Perú;Lima;Lima;Los Olivos;150117;Micaela Bastidas Puyucahua;-77.0705318;-11.9854485
55;Parque;Parque Micaela Bastidas;Perú;Lima;Lima;San Juan de Miraflores;150101;Micaela Bastidas Puyucahua;-76.9680826;-12.1675924
56;Parque;Parque Plaza Madre de los Héroes;Perú;Lima;Lima;San Juan de Miraflores;150133;;-76.9692466;-12.1691752
57;Parque;Parque Rosa Elvira Figueroa;Perú;Lima;Lima;Santiago de Surco;150140;Rosa Elvira Figueroa y Núñez;-76.9981746;-12.1251269
58;Parque;Parque Rosa Merino;Perú;Lima;Lima;Independencia;150112;Rosa Merino;-77.043395;-11.9722527
59;Parque;Parque Rosa Merino;Perú;Lima;Lima;San Isidro;150131;Rosa Merino;-77.0287448;-12.0965167
60;Parque;Parque Rosa Merino;Perú;Lima;Lima;San Miguel;150136;Rosa Merino;-77.0995248;-12.0781875
61;Parque;Parque Rosa Merino;Perú;Lima;Lima;Carabayllo;150106;Rosa Merino;-77.0509379;-11.8514882
62;Parque;Parque Rosalía Lavalle;Perú;Lima;Lima;Miraflores;150121;Rosalía Lavalle de Morales Macedo;-77.0059874;-12.1247738
63;Parque;Parque Rosita Ríos;Perú;Lima;Lima;Rímac;150128;María Rosa Ríos Portales;-77.0270055;-12.0267852
64;Parque;Parque Santa Rosa;Perú;Lima;Lima;Cercado de Lima;150101;Isabel Flores de Oliva;-77.0644647;-12.0597732
65;Parque;Parque Santa Rosa;Perú;Lima;Lima;Santiago de Surco;150140;Isabel Flores de Oliva;-76.9891286;-12.1692636
66;Parque;Parque Santa Rosa;Perú;Lima;Lima;Carabayllo;150106;Isabel Flores de Oliva;-77.0463301;-11.8892467
67;Parque;Parque Santa Rosa;Perú;Lima;Lima;San Martín de Porres;150135;Isabel Flores de Oliva;-77.0775994;-12.0284286
68;Parque;Parque Santa Rosa;Perú;Lima;Lima;Ate;150103;Isabel Flores de Oliva;-76.9131602;-12.0271854
69;Parque;Parque Santa Rosa;Perú;Lima;Lima;San Miguel;150136;Isabel Flores de Oliva;-77.0806728;-12.0815366
70;Parque;Parque Santa Rosa;Perú;Lima;Lima;Santiago de Surco;150140;Isabel Flores de Oliva;-76.9958583;-12.1241938
71;Parque;Parque Santa Rosa;Perú;Lima;Lima;Santa Anita;150137;Isabel Flores de Oliva;-76.9737618;-12.0429485
72;Parque;Parque Santa Rosa;Perú;Lima;Lima;San Juan de Lurigancho;150132;Isabel Flores de Oliva;-77.0062426;-12.0235592
73;Parque;Parque Santa Rosa;Perú;Lima;Callao;Ventanilla (Callao);70106;Isabel Flores de Oliva;-77.1114088;-11.8919139
74;Parque;Parque Santa Rosa;Perú;Lima;Lima;San Isidro;150131;Isabel Flores de Oliva;-77.0332038;-12.1010358
75;Parque;Parque Santa Rosa de Lima;Perú;Lima;Lima;La Molina;150114;Isabel Flores de Oliva;-76.9482456;-12.067054
76;Parque;Parque Santos Samudio;Perú;Lima;Lima;Villa María del Triunfo;150143;María Santos Zamudio;-76.9498528;-12.1813241
77;Parque;Parque Sarita Colonia;Perú;Lima;Lima;Chorrillos;150109;Sara Colonia Zambrano;-77.006656;-12.1882871
78;Parque;Parque Teresa Gonzales de Fanning;Perú;Lima;Lima;Los Olivos;150117;Teresa Gonzales de Fanning;-77.0729477;-11.9811658
79;Parque;Parque Úrsula Pereda;Perú;Lima;Lima;Carabayllo;150106;Úrsula Pereda;-77.0405579;-11.8925968
80;Parque;Parque Virginia Candamo De la Puente;Perú;Lima;Lima;San Miguel;150136;Virginia Candamo de la Puente;-77.0844705;-12.084826
81;Parque;Parque Virginia Candamo De La Puente;Perú;Lima;Lima;Pueblo Libre;150124;Virginia Candamo De La Puente;-77.0649525;-12.0797367
82;Parque;Parque Yolanda Vigil;Perú;Lima;Lima;Rímac;150128;Irma Angela Vigil Ronco;-77.0319642;-12.0175599
83;Parque;Parque Zoila Amoretti;Perú;Lima;Lima;Pueblo Libre;150124;Zoyla Amoretti Pechu;-77.0621306;-12.080775
84;Parque;Parque Zoila Cáceres;Perú;Lima;Lima;San Martín de Porres;150135;Zoila Aurora Cáceres Moreno;-77.0858066;-12.0223107
