WKT;Tipo;Nombre del jirón;País;Departamento;Provincia;Distrito;Ubigeo;Nombre del Personaje
LINESTRING (-77.0519316 -12.0297871, -77.0518645 -12.0299786, -77.0518484 -12.0304534, -77.0518216 -12.031125, -77.0518066 -12.0319683, -77.0518173 -12.0323854, -77.05209 -12.0329302, -77.0522228 -12.0332188, -77.052374 -12.0336559);Jirón;Jirón Alicia Alarcón;Perú;Lima;Lima;San Martín de Porres;150135;Alicia Alarcón
LINESTRING (-77.0743387 -12.0767915, -77.073864 -12.0769174, -77.0736494 -12.0769778, -77.073585 -12.0770223, -77.0735904 -12.0771168, -77.0736883 -12.0774394);Jirón;Jirón Ángela Podestá Pescheira;Perú;Lima;Lima;Pueblo Libre;150124;Ángela Podestá Pescheira
LINESTRING (-77.0707431 -12.0558292, -77.0706868 -12.0563302, -77.0706761 -12.0570384);Jirón;Jirón Bárbara Alcázar;Perú;Lima;Lima;San Miguel;150136;Bárbara Alcázar
LINESTRING (-77.0412315 -11.8902639, -77.0409767 -11.8899515, -77.0404644 -11.8893662, -77.0401828 -11.889046, -77.0399789 -11.8887153);Jirón;Jirón Carmela Combe;Perú;Lima;Lima;Carabayllo;150106;Carmela Combe Thomson
LINESTRING (-77.067043 -12.025769, -77.0667855 -12.0255014, -77.066249 -12.0249348, -77.0657689 -12.0244049);Jirón;Jirón Chimpu Ocllo;Perú;Lima;Lima;San Martín de Porres;150135;Isabel Suárez Yupanqui
LINESTRING (-77.0463081 -11.8568588, -77.0468767 -11.8562498, -77.0476626 -11.8554387, -77.0479013 -11.8552438, -77.0480488 -11.8551506, -77.0481977 -11.8550902);Jirón;Jirón Clorinda Matto de Turner;Perú;Lima;Lima;Carabayllo;150106;Clorinda Matto de Turner 
LINESTRING (-77.0010659 -12.1409635, -77.0010364 -12.1410251, -77.0009572 -12.1410775, -77.0008526 -12.1412257, -77.0005388 -12.1415417, -77.0000882 -12.1418511, -76.9997543 -12.1420137, -76.9983963 -12.1426776, -76.9979537 -12.1429057, -76.9971654 -12.1434605, -76.996881 -12.1436441);Jirón;Jirón Doña Ana;Perú;Lima;Lima;Santiago de Surco;150140;Doña Ana
LINESTRING (-76.997982 -12.1405818, -76.9976682 -12.1400809, -76.9974671 -12.1395224, -76.9973276 -12.1388904, -76.9972176 -12.1382296, -76.9970138 -12.13722, -76.9969601 -12.1369972, -76.9969118 -12.1369421, -76.9968475 -12.1368582, -76.9964827 -12.136596, -76.9960991 -12.1363101);Jirón;Jirón Doña Catalina;Perú;Lima;Lima;Santiago de Surco;150140;Doña Catalina
LINESTRING (-76.9969721 -12.1361895, -76.9971531 -12.1363193, -76.9972779 -12.1364517, -76.9973597 -12.1365514, -76.9975193 -12.1367546, -76.9976051 -12.1369552, -76.9976413 -12.137144);Jirón;Jirón Doña Cecilia;Perú;Lima;Lima;Santiago de Surco;150140;Doña Cecilia
LINESTRING (-77.0060025 -12.1412782, -77.0055935 -12.1415102, -77.0046399 -12.1420412, -77.0041089 -12.142352, -77.0031205 -12.1430298, -77.0025009 -12.1434572, -77.0018156 -12.1439384, -77.0011987 -12.1443684, -77.0006636 -12.1447336);Jirón;Jirón Doña Delmira;Perú;Lima;Lima;Santiago de Surco;150140;Doña Delmira
LINESTRING (-77.0005032 -12.1433502, -77.0004214 -12.143596, -77.0003551 -12.1437592, -77.0003483 -12.1438314, -77.0003953 -12.1439841, -77.0004556 -12.1441073, -77.0006146 -12.1443178, -77.0006742 -12.1444312, -77.000807 -12.1446042, -77.0009686 -12.1447793, -77.0011389 -12.1450094, -77.0012784 -12.145225, -77.001326 -12.1452631, -77.0013582 -12.1452604, -77.0014313 -12.1452329);Jirón;Jirón Doña Elsa;Perú;Lima;Lima;Santiago de Surco;150140;Doña Elsa
LINESTRING (-76.997294 -12.1357372, -76.9974951 -12.1358591, -76.9976493 -12.1359876, -76.9978344 -12.1361764, -76.9980034 -12.1364137, -76.9981469 -12.1367402, -76.9982113 -12.136971, -76.9982314 -12.1370627);Jirón;Jirón Doña Raquel;Perú;Lima;Lima;Santiago de Surco;150140;Doña Raquel
LINESTRING (-77.0122608 -12.136446, -77.0123956 -12.1366027, -77.0125565 -12.1367862, -77.0126738 -12.13692, -77.0127389 -12.1370078, -77.0127376 -12.1371101, -77.0126497 -12.1373682, -77.0126015 -12.137519, -77.0125854 -12.1375767, -77.0126055 -12.1376895, -77.0126739 -12.1378035, -77.0128603 -12.1380566, -77.0130306 -12.1382887, -77.0133967 -12.1387829, -77.014192 -12.1397243, -77.0144146 -12.1399603, -77.0151335 -12.1407758, -77.0155519 -12.1412242, -77.0158818 -12.1415861, -77.0163566 -12.1420896, -77.0168313 -12.1426166, -77.0174764 -12.1433587, -77.0177392 -12.1436917, -77.0180021 -12.1441244, -77.0185037 -12.1449845);Jirón;Jirón Elvira García y García;Perú;Lima;Lima;Santiago de Surco;150140;Elvira García y García Bert
LINESTRING (-77.119939 -12.0688806, -77.1192067 -12.0692793, -77.1189787 -12.0694524, -77.1183779 -12.0697645);Jirón;Jirón Emma Dettman;Perú;Lima;Callao;La Perla (Callao);70104;Emma Dettman
LINESTRING (-76.9917447 -11.9453107, -76.9905431 -11.9461137, -76.9897679 -11.9466122, -76.9879869 -11.9477747, -76.987472 -11.9481447, -76.9866888 -11.9486748);Jirón;Jirón Gregoria Apaza;Perú;Lima;Lima;San Juan de Lurigancho;150132;Gregoria Apaza Nina
LINESTRING (-77.0560649 -11.9918575, -77.0560635 -11.9919874, -77.0560394 -11.9922458, -77.056026 -11.9923573, -77.0559415 -11.9925817, -77.0557457 -11.992987);Jirón;Jirón Hermanas Toledo;Perú;Lima;Lima;Independencia;150112;
LINESTRING (-77.0792543 -12.0543412, -77.0790947 -12.0544185, -77.0790196 -12.0544972, -77.0789955 -12.0545785, -77.0790022 -12.0546769, -77.0790317 -12.0549327, -77.079092 -12.0554087, -77.0791457 -12.0558599, -77.0791919 -12.0563281);Jirón;Jirón Hortencia Zevallos;Perú;Lima;Lima;Cercado de Lima;150101;Hortencia Zevallos de Ruiz
LINESTRING (-77.0171629 -12.1336169, -77.0171589 -12.1330413, -77.0171536 -12.1328184, -77.0171294 -12.1326991, -77.017002 -12.1325588, -77.0167847 -12.1323228, -77.0166801 -12.1321091, -77.0163259 -12.131393, -77.0160524 -12.1308397, -77.0159397 -12.1305932, -77.0157895 -12.1304385);Jirón;Jirón Irma Gamero de Planas;Perú;Lima;Lima;Santiago de Surco;150140;Irma Gamero de Planas
LINESTRING (-77.0163897 -11.9860977, -77.0163883 -11.9863784, -77.0163575 -11.9866368, -77.0162409 -11.9876829, -77.0161389 -11.9885146, -77.0161282 -11.9885999);Jirón;Jirón Isabel de Castilla;Perú;Lima;Lima;San Juan de Lurigancho;150132;Isabel de Castilla
LINESTRING (-77.0644863 -12.0373616, -77.0644904 -12.0372475, -77.0644904 -12.0370684, -77.0645138 -12.0370592, -77.0645427 -12.0370179, -77.0645856 -12.0369622, -77.0646272 -12.0369182, -77.064658 -12.0368966, -77.0646929 -12.0368835, -77.0647338 -12.0368815, -77.064835 -12.0368861, -77.0649282 -12.0368927, -77.0649785 -12.0368979, -77.0650416 -12.0368986, -77.0650892 -12.0368927, -77.0651334 -12.0368763, -77.065175 -12.0368402, -77.0651898 -12.036814, -77.065183 -12.0367694, -77.0651763 -12.036631, -77.0651495 -12.0365182, -77.0651167 -12.0363903, -77.0650778 -12.0362533, -77.0650114 -12.0360801, -77.064951 -12.0359076, -77.0648679 -12.0356768, -77.0648344 -12.0355942);Jirón;Jirón Isabel Flores de Oliva;Perú;Lima;Lima;Cercado de Lima;150101;Isabel Flores de Oliva
LINESTRING (-77.0193405 -11.989076, -77.0191179 -11.9890603, -77.0188094 -11.989139, -77.0183695 -11.9892912, -77.0176266 -11.9896165, -77.0171009 -11.9897897, -77.0169104 -11.9897923, -77.0165403 -11.9897005);Jirón;Jirón Isabel II;Perú;Lima;Lima;San Juan de Lurigancho;150132;Isabel II
LINESTRING (-77.0758781 -12.0211741, -77.0757064 -12.0214942, -77.0753818 -12.0221133);Jirón;Jirón Isolina Soto;Perú;Lima;Lima;San Martín de Porres;150135;Dorila Isolina Soto Ahanno
LINESTRING (-77.0768008 -12.0196638, -77.0762107 -12.0207683);Jirón;Jirón Isolina Soto;Perú;Lima;Lima;San Martín de Porres;150135;Dorila Isolina Soto Ahanno
LINESTRING (-77.0174409 -11.9890699, -77.0173899 -11.9884901, -77.0173443 -11.9877974, -77.0172853 -11.9871887, -77.0172397 -11.9869578, -77.0171405 -11.9866981, -77.0169715 -11.9864646, -77.016663 -11.9862416, -77.0164163 -11.9860527, -77.0163438 -11.9859293, -77.0162634 -11.9856302, -77.0160783 -11.9848798, -77.0159469 -11.9845047);Jirón;Jirón Juana I;Perú;Lima;Lima;San Juan de Lurigancho;150132;Juana I
LINESTRING (-77.0455164 -11.8966477, -77.044591 -11.8949994);Jirón;Jirón Juana de Dios Valencia;Perú;Lima;Lima;Carabayllo;150106;Juana de Dios Valencia
LINESTRING (-76.9851978 -11.9418901, -76.9840686 -11.9426328, -76.9830092 -11.9433623);Jirón;Jirón Juana Manrique Luna;Perú;Lima;Lima;San Juan de Lurigancho;150132;Juana de Dios Manrique Luna
LINESTRING (-77.057091 -12.0600283, -77.056576 -12.0604742, -77.0557633 -12.0611299, -77.0551761 -12.0616555, -77.054514 -12.0621874, -77.0544644 -12.0622615, -77.054445 -12.0623382);Jirón;Jirón Justa García Robledo;Perú;Lima;Lima;Breña;150105;Justa García Robledo
LINESTRING (-77.0585934 -12.0672135, -77.0586121 -12.0670916, -77.0586336 -12.0669263, -77.0586282 -12.0668385, -77.0584432 -12.0663414, -77.0582286 -12.0658181, -77.058124 -12.065628, -77.0578665 -12.0653617, -77.0575339 -12.0650326, -77.0573475 -12.0648267, -77.0572368 -12.0646326, -77.0571751 -12.0645185, -77.0570886 -12.064289, -77.0569746 -12.0639912, -77.0567728 -12.0635008, -77.0566581 -12.0632142, -77.0565636 -12.0629565, -77.0565354 -12.0628844);Jirón;Jirón Lastenia Larriva de Llona;Perú;Lima;Lima;Breña;150105;Lastenia Micaela Larriva y Negrón
LINESTRING (-77.0430203 -12.0918921, -77.0438451 -12.0861627, -77.0439282 -12.0856644, -77.0440194 -12.0850769, -77.044057 -12.0848854, -77.0441401 -12.0848828, -77.0442152 -12.0843818, -77.0442662 -12.0840015, -77.044293 -12.0837996);Jirón;Jirón Mama Ocllo;Perú;Lima;Lima;Lince;150116;Mama Ocllo
LINESTRING (-77.0744513 -12.0856612, -77.0739256 -12.0846436, -77.0738666 -12.0844809, -77.0734589 -12.0836889, -77.0728581 -12.0824142, -77.0725469 -12.0817637, -77.0723753 -12.081428);Jirón;Jirón Mama Runter;Perú;Lima;Lima;San Miguel;150136;Mama Runter
LINESTRING (-77.0711991 -12.055824, -77.069571 -12.0556404);Jirón;Jirón Manuela Gorriti;Perú;Lima;Lima;Cercado de Lima;150101;Juana Manuela Gorriti Zuviria
LINESTRING (-77.04992 -12.0374571, -77.0497269 -12.0370623, -77.0494775 -12.0365534, -77.0493326 -12.0362937, -77.0490336 -12.03571, -77.0489249 -12.0354739, -77.0489839 -12.0353572, -77.0492025 -12.0352851);Jirón;Jirón María Delgado de la Flor;Perú;Lima;Lima;San Martín de Porres;150135;María Delgado de la Flor
LINESTRING (-77.0938969 -12.0801642, -77.0931513 -12.0803951, -77.0926095 -12.0805262, -77.0920837 -12.0805996, -77.0915527 -12.0807098, -77.0910699 -12.080757, -77.0904154 -12.0807727);Jirón;Jirón María José Arce;Perú;Lima;Lima;San Miguel;150136;María José Arce
LINESTRING (-77.0061862 -11.9758804, -77.0057034 -11.9762189, -77.0051992 -11.9765665, -77.0047875 -11.9768617);Jirón;Jirón María Parado de Bellido;Perú;Lima;Lima;San Juan de Lurigancho;150132;María Andrea Parado Jayo
LINESTRING (-77.0592484 -12.0891709, -77.059821 -12.0900299, -77.0601925 -12.0905767, -77.0609784 -12.0917071);Jirón;Jirón María Parado de Bellido;Perú;Lima;Lima;Magdalena del Mar;150120;María Andrea Parado Jayo
LINESTRING (-77.0146036 -12.1485391, -77.0144359 -12.1487619, -77.014043 -12.14907, -77.0138043 -12.1492129, -77.013406 -12.1494319, -77.0129822 -12.1496299);Jirón;Jirón María Parado de Bellido;Perú;Lima;Lima;Santiago de Surco;150140;María Andrea Parado Jayo
LINESTRING (-76.9298831 -12.1985981, -76.929411 -12.1983635, -76.9290824 -12.1981328, -76.9286814 -12.1979021, -76.9280471 -12.1975023, -76.9276059 -12.1972217, -76.9268321 -12.196742, -76.9262594 -12.1964234);Jirón;Jirón María Parado de Bellido;Perú;Lima;Lima;Villa María del Triunfo;150143;María Andrea Parado Jayo
LINESTRING (-76.9487648 -12.1741546, -76.948349 -12.1738872, -76.9480272 -12.1743251, -76.9475377 -12.1750186, -76.947185 -12.1755547, -76.946442 -12.1767621);Jirón;Jirón María Parado de Bellido;Perú;Lima;Lima;Cercado de Lima;150101;María Andrea Parado Jayo
LINESTRING (-77.0232961 -12.1778177, -77.0231566 -12.1781297, -77.0229367 -12.1784784, -77.0226336 -12.1790028, -77.0223171 -12.1795691, -77.0219523 -12.1801865);Jirón;Jirón María Parado de Bellido;Perú;Lima;Lima;Chorrillos;150109;María Andrea Parado Jayo
LINESTRING (-76.9193543 -12.1921864, -76.9188796 -12.1919255);Jirón;Jirón María Parado de Bellido;Perú;Lima;Lima;Villa María del Triunfo;150143;María Parado de Bellido Jayo
LINESTRING (-77.0871241 -12.078677, -77.0869096 -12.0787741, -77.0865931 -12.0788528, -77.0858608 -12.0788869, -77.0852895 -12.0789079, -77.0851903 -12.0789079, -77.0852037 -12.0789498, -77.08456 -12.0789656, -77.08456 -12.0789, -77.0831491 -12.0789341, -77.0827548 -12.0789393, -77.0822774 -12.0790521, -77.0818161 -12.0792436);Jirón;Jirón Mercedes Gallagher de Parks;Perú;Lima;Lima;San Miguel;150136;Mercedes Alicia Gallagher Ortiz de Villate
LINESTRING (-77.076381 -12.0223682, -77.0755509 -12.0226843, -77.0753658 -12.0226174, -77.0747999 -12.0223197);Jirón;Jirón Mercedes Gallagher;Perú;Lima;Lima;San Martín de Porres;150135;Mercedes Alicia Gallagher Ortiz de Villate
LINESTRING (-77.0224781 -11.9111582, -77.0214588 -11.9111425, -77.0214669 -11.9109955, -77.0206434 -11.9109824, -77.0195572 -11.9111478, -77.0185701 -11.9112816, -77.0170332 -11.911363, -77.0156894 -11.9114312, -77.0147506 -11.9114784, -77.0137233 -11.9112868, -77.0121274 -11.9109404, -77.0110519 -11.9107698, -77.0111001 -11.9104444, -77.0111686 -11.9097878, -77.011328 -11.9095883, -77.0113736 -11.9094414, -77.0113924 -11.9091999, -77.011658 -11.9090661, -77.0117411 -11.9089506, -77.0122132 -11.9089348);Jirón;Jirón Micaela Bastidas;Perú;Lima;Lima;Comas;150110;Micaela Bastidas Puyucahua
LINESTRING (-77.0556328 -11.9938196, -77.0557575 -11.9936202, -77.0560177 -11.9932713, -77.0562055 -11.9930194, -77.0563852 -11.9926626, -77.0564898 -11.9922218, -77.0565032 -11.9918466, -77.0565043 -11.9918324);Jirón;Jirón Micaela Bastidas;Perú;Lima;Lima;Independencia;150112;Micaela Bastidas Puyucahua
LINESTRING (-77.0557836 -11.9939953, -77.0557366 -11.9941147, -77.0556602 -11.9942996, -77.0555086 -11.9945633, -77.0553678 -11.9947679);Jirón;Jirón Micaela Bastidas;Perú;Lima;Lima;Independencia;150112;Micaela Bastidas Puyucahua
LINESTRING (-77.0434566 -11.9730269, -77.0432018 -11.9729915, -77.0429738 -11.9730217, -77.0428785 -11.9731463, -77.0427042 -11.9734467, -77.0422469 -11.9738849);Jirón;Jirón Micaela Bastidas;Perú;Lima;Lima;Independencia;150112;Micaela Bastidas Puyucahua
LINESTRING (-76.9495997 -12.0659954, -76.9489345 -12.0656465, -76.9477838 -12.0650301, -76.9469872 -12.0646288, -76.9456407 -12.0639259);Jirón;Jirón Micaela Bastidas;Perú;Lima;Lima;La Molina;150114;Micaela Bastidas Puyucahua
LINESTRING (-77.0339031 -11.9158578, -77.0330904 -11.9158368);Jirón;Jirón Micaela Bastidas;Perú;Lima;Lima;Comas;150110;Micaela Bastidas Puyucahua
LINESTRING (-77.0381698 -11.8941166, -77.0377997 -11.8945024, -77.0377111 -11.8946809, -77.0377997 -11.8950037, -77.0380759 -11.895778);Jirón;Jirón Nicolasa Torres;Perú;Lima;Lima;Carabayllo;150106;Nicolasa Torres
LINESTRING (-77.0801217 -12.0808827, -77.0799957 -12.0805784, -77.0798656 -12.0802663, -77.0797798 -12.0800958, -77.0797087 -12.0799306, -77.0795786 -12.0797011, -77.079529 -12.0795896, -77.0795062 -12.0794467, -77.0795357 -12.0793942, -77.0796014 -12.0792998, -77.0797114 -12.0792369, -77.0800279 -12.0791425, -77.0801834 -12.0790926);Jirón;Jirón Rosa Mercedes Ayarza de Morales;Perú;Lima;Lima;San Miguel;150136;Rosa Mercedes Ayarza de Morales
LINESTRING (-77.1002977 -12.078122, -77.0985757 -12.0789508);Jirón;Jirón Rosa Merino;Perú;Lima;Lima;San Miguel;150136;Rosa Merino
LINESTRING (-76.9851084 -11.9528999, -76.9840302 -11.9550779, -76.9837164 -11.9557261, -76.9833677 -11.9563585);Jirón;Jirón Rosa Merino ;Perú;Lima;Lima;San Juan de Lurigancho;150132;Rosa Merino 
LINESTRING (-77.0883394 -12.0238884, -77.0877868 -12.0228364);Jirón;Jirón Rebeca Carrión;Perú;Lima;Lima;San Martín de Porres;150135;Rebeca Carrión Cachot
LINESTRING (-77.0472856 -12.058781, -77.0461376 -12.0597095, -77.045274 -12.06036);Jirón;Jirón Rebeca Oquendo;Perú;Lima;Lima;Breña;150105;Rebeca Oquendo de Subercaseaux
LINESTRING (-77.0524193 -11.9611991, -77.0523844 -11.9609813, -77.0521376 -11.960349, -77.0518158 -11.959504, -77.0513464 -11.9582996, -77.0502976 -11.9555103, -77.0497451 -11.9541091, -77.0495265 -11.9534531, -77.0493334 -11.9529676, -77.0491818 -11.9525976, -77.0489592 -11.9519849, -77.0488747 -11.9517395);Jirón;Jirón Santa Rosa;Perú;Lima;Lima;Comas;150110;Isabel Flores de Oliva
LINESTRING (-77.0211035 -12.1428778, -77.0209171 -12.143119, -77.0206663 -12.1434088, -77.0204168 -12.1437169, -77.0201996 -12.1439804, -77.0199528 -12.1442688, -77.0196832 -12.1445966, -77.0194539 -12.1448968, -77.0192206 -12.145201, -77.0191803 -12.1452692, -77.0191468 -12.1453282, -77.0191347 -12.1453833, -77.019132 -12.1454213);Jirón;Jirón Santa Rosa;Perú;Lima;Lima;Barranco;150104;Isabel Flores de Oliva
LINESTRING (-77.0848418 -12.0863778, -77.0845709 -12.0858165, -77.084461 -12.0855464, -77.0843537 -12.0852919, -77.0841713 -12.0847543, -77.0840566 -12.0843969, -77.0840344 -12.0843785, -77.0840217 -12.0843372, -77.083962 -12.0840802, -77.0839104 -12.0838677, -77.083905 -12.0838395, -77.0838614 -12.083692, -77.0838386 -12.0836159, -77.0838024 -12.0834881, -77.083785 -12.0834291, -77.0837783 -12.0833963, -77.083785 -12.0833071, -77.083779 -12.083256, -77.0837736 -12.0832258, -77.0835825 -12.0821714, -77.0835087 -12.08182, -77.0835114 -12.0816954, -77.0834926 -12.0813781, -77.0834846 -12.081201, -77.0834645 -12.0810725, -77.0834417 -12.0808758, -77.0834216 -12.0807263);Jirón;Jirón Virginia Candamo;Perú;Lima;Lima;San Miguel;150136;Virginia Candamo de la Puente
LINESTRING (-77.0869856 -12.0251081, -77.0867197 -12.0246297, -77.0866124 -12.0244019, -77.0866713 -12.0243734, -77.0865424 -12.0241303, -77.0862859 -12.0236518, -77.0860562 -12.0231629);Jirón;Jirón Zoila Aurora Cáceres;Perú;Lima;Lima;San Martín de Porres;150135;Zoila Aurora Cáceres Moreno
LINESTRING (-77.0858522 -12.0227671, -77.085769 -12.0226334, -77.0857127 -12.0225022, -77.0856148 -12.0222215);Jirón;Jirón Zoila Cáceres;Perú;Lima;Lima;San Martín de Porres;150135;Zoila Aurora Cáceres Moreno
